Week,Workout ID,Sport,Session Type,Total Duration,Total Distance,Warm Up,Recovery Rest,Cool Down,Intensity Type,Intensity Rule,Intensity Display,Workout Description (Original Structure),Intensity Guidance (%),Workout Description (Original Structure) (2),Intensity Guidance (%) (2),Warm Up Intensity Rule,Main Set Intensity Rule,Cool Down Intensity Rule
0,W00-SWIM-CSS-01,Swim,Time Trial,,1500m,400m + 4x50 drill build + 4x25 fast,2min between 400s,200m,CSS,CSS:TEST,CSS test ‚Äì establish new baseline,"CSS Test: 400m TT, 200m easy, 400m TT",CSS baseline test,,,CSS:+8-+12,CSS:TEST,CSS:+8-+12
0,W00-SWIM-AER-02,Swim,Aerobic,,1200m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,"1,200m steady aerobic",CSS +8‚Äì12 sec,,,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
0,W00-SWIM-END-03,Swim,Endurance,,1800m,300m,,200m,CSS,CSS:+5-+10,CSS +5 to +10 sec per 100,"1,800m continuous steady",CSS +5‚Äì10 sec,,,CSS:+8-+12,CSS:+5-+10,CSS:+8-+12
0,W00-BIKE-FTP-04,Bike,Time Trial,60min,,15min progressive build,5min before test block,10min,FTP,FTP:TEST,20min max effort test,FTP Test: 20min max effort after warm-up,Establish new FTP,,,FTP:0.60-0.70,FTP:TEST,FTP:0.60-0.70
0,W00-BIKE-AER-05,Bike,Aerobic,,60min,10min,,5‚Äì10min,FTP,FTP:0.65-0.75,65‚Äì75% FTP,Endurance ride 60min steady aerobic,65‚Äì75% FTP,,,FTP:0.60-0.70,FTP:0.65-0.75,FTP:0.60-0.70
0,W00-BIKE-VO2-06,Bike,VO2,45min,,12min build + 3x30s -ups,3min between reps,8‚Äì10min,FTP,FTP:1.05-1.15,105‚Äì115% FTP,5 x 3min hard,105‚Äì115% FTP,,,FTP:0.60-0.70,FTP:1.05-1.15,FTP:0.60-0.70
0,W00-RUN-5K-07,Run,Time Trial,,5km,10min + 4x20s strides,,10min,RUN_PACE,RUN:TEST,5K Time Trial,Test 5K effort to establish new pace zones,All-out controlled effort,,,RUN:AEROBIC,RUN:TEST,RUN:AEROBIC
0,W00-RUN-AER-08,Run,Aerobic,,8km,5min,,5min,RUN_PACE,RUN:AEROBIC,8:00‚Äì8:45 per mile,8km steady aerobic run,Aerobic pace,,,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
0,W00-RUN-TEMP-09,Run,Tempo,40min,,10min + strides,4min between efforts,10min,RUN_PACE,RUN:THRESHOLD,Threshold pace session,2 x 8min steady threshold,Threshold pace,,,RUN:AEROBIC,RUN:THRESHOLD,RUN:AEROBIC
1,W01-SWIM-INT-01,Swim,Interval,,1000m,300m + 4x50m drill build,30s between 50s,200m,CSS,CSS:-3--5,CSS ‚Äì3 to ‚Äì5 sec per 100,"Total = 1,000m; Main set (MS) = 6 x 50m",CSS ‚Äì3 to ‚Äì5 sec per 100,"Total = 1,000m; Main set (MS) = 6 x 50m",CSS ‚Äì3 to ‚Äì5 sec per 100,CSS:+8-+12,CSS:-3--5,CSS:+8-+12
1,W01-SWIM-AER-02,Swim,Aerobic,,800m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,800m,CSS +8 to +12 sec per 100,800m,CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
1,W01-SWIM-TECH-03,Swim,Technique / Aerobic,,1200m,300m,,200m,CSS,CSS:+5-+10,CSS +5 to +10 sec per 100,"1,200m continuous steady",CSS +5 to +10 sec per 100,"1,200m continuous steady",CSS +5 to +10 sec per 100,CSS:+8-+12,CSS:+5-+10,CSS:+8-+12
1,W01-BIKE-TEMP-04,Bike,Tempo,40min,,10min build + 3x20s fast,4min between 8min efforts,10min,FTP,FTP:0.80-0.90,80‚Äì90% FTP (193‚Äì217w),40mins; MS = 2 x 8mins,80‚Äì90% FTP (193‚Äì217w),40mins; MS = 2 x 8mins,80‚Äì90% FTP (193‚Äì217w),FTP:0.60-0.70,FTP:0.80-0.90,FTP:0.60-0.70
1,W01-BIKE-AER-05,Bike,Aerobic,,40km,10min,,5‚Äì10min,FTP,FTP:0.65-0.75,65‚Äì75% FTP (157‚Äì181w),40km,65‚Äì75% FTP (157‚Äì181w),40km,65‚Äì75% FTP (157‚Äì181w),FTP:0.60-0.70,FTP:0.65-0.75,FTP:0.60-0.70
1,W01-BIKE-VO2-06,Bike,VO2,50min,,12min progressive warm-up,3min between reps,10min,FTP,FTP:1.05-1.15,105‚Äì115% FTP (253‚Äì277w),50mins; MS = 5 x 3mins hard,105‚Äì115% FTP (253‚Äì277w),50mins; MS = 5 x 3mins hard,105‚Äì115% FTP (253‚Äì277w),FTP:0.60-0.70,FTP:1.05-1.15,FTP:0.60-0.70
1,W01-RUN-INT-07,Run,Interval,35min,,10min + 4x20s strides,2min between reps,8min,RUN_PACE,RUN:5K,5K pace (6:50‚Äì7:00/mi),35mins; MS = 4 x 2mins,5K pace (6:50‚Äì7:00/mi),35mins; MS = 4 x 2mins,5K pace (6:50‚Äì7:00/mi),RUN:AEROBIC,RUN:5K,RUN:AEROBIC
1,W01-RUN-AER-08,Run,Aerobic,,8km,5min,,5min,RUN_PACE,RUN:AEROBIC,8:00‚Äì8:45 per mile,8km,8:00‚Äì8:45 per mile,8km,8:00‚Äì8:45 per mile,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
1,W01-RUN-TEMP-09,Run,Tempo,45min,,10min + 4x20s strides,4min between 8min efforts,10min,RUN_PACE,RUN:THRESHOLD,Threshold pace (~7:20/mi),45mins; MS = 2 x 8mins steady,Threshold pace (~7:20/mi),45mins; MS = 2 x 8mins steady,Threshold pace (~7:20/mi),RUN:AEROBIC,RUN:THRESHOLD,RUN:AEROBIC
2,W02-SWIM-INT-01,Swim,Interval,,1000m,300m + 4x50 drill build,30s between reps,200m,CSS,CSS:-3--5,CSS ‚Äì3 to ‚Äì5 sec per 100,"Total = 1,000m; MS = 4 x 100m",CSS ‚Äì3 to ‚Äì5 sec per 100,"Total = 1,000m; MS = 4 x 100m",CSS ‚Äì3 to ‚Äì5 sec per 100,CSS:+8-+12,CSS:-3--5,CSS:+8-+12
2,W02-SWIM-AER-02,Swim,Aerobic,,1000m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,"1,000m steady",CSS +8 to +12 sec per 100,"1,000m",CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
2,W02-SWIM-END-03,Swim,Endurance,,1400m,300m,,200m,CSS,CSS:+5-+10,CSS +5 to +10 sec per 100,"1,400m continuous steady",CSS +5 to +10 sec per 100,"1,400m continuous steady",CSS +5 to +10 sec per 100,CSS:+8-+12,CSS:+5-+10,CSS:+8-+12
2,W02-BIKE-INT-04,Bike,Interval,40min,,10min progressive build + 3x30s -ups,2min between reps,8‚Äì10min,FTP,FTP:1.05-1.15,105‚Äì115% FTP,40mins; MS = 6 x 2mins,105‚Äì115% FTP,40mins; MS = 6 x 2mins,105‚Äì115% FTP (253‚Äì277w),FTP:0.60-0.70,FTP:1.05-1.15,FTP:0.60-0.70
2,W02-BIKE-AER-05,Bike,Aerobic,,45km,10min,,5‚Äì10min,FTP,FTP:0.65-0.75,65‚Äì75% FTP,45km steady aerobic,65‚Äì75% FTP,45km,65‚Äì75% FTP (157‚Äì181w),FTP:0.60-0.70,FTP:0.65-0.75,FTP:0.60-0.70
2,W02-BIKE-TEMP-06,Bike,Tempo,60min,,12min progressive warm-up,4min between reps,10min,FTP,FTP:0.80-0.90,80‚Äì90% FTP,60mins; MS = 3 x 8mins,80‚Äì90% FTP,60mins; MS = 3 x 8mins,80‚Äì90% FTP (193‚Äì217w),FTP:0.60-0.70,FTP:0.80-0.90,FTP:0.60-0.70
2,W02-RUN-TEMP-07,Run,Tempo,35min,,10min + 4x20s strides,3min between reps,8‚Äì10min,RUN_PACE,RUN:THRESHOLD,Threshold pace (~7:20/mi),35mins; MS = 2 x 6mins,Threshold pace,35mins; MS = 2 x 6mins,Threshold pace (~7:20/mi),RUN:AEROBIC,RUN:THRESHOLD,RUN:AEROBIC
2,W02-RUN-AER-08,Run,Aerobic,,10km,5min,,5min,RUN_PACE,RUN:AEROBIC,8:00‚Äì8:45 per mile,10km steady aerobic,8:00‚Äì8:45 per mile,10km,8:00‚Äì8:45 per mile,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
2,W02-RUN-SPD-09,Run,Speed,45min,,12min + strides,2min between reps,10min,RUN_PACE,RUN:5K,5K pace,45mins; MS = 5 x 2mins,5K pace,45mins; MS = 5 x 2mins,5K pace (6:50‚Äì7:00/mi),RUN:AEROBIC,RUN:5K,RUN:AEROBIC
3,W03-SWIM-INT-01,Swim,Interval,,900m,300m + 4x50 drill build,20–30s between reps,200m,CSS,CSS:0--3,CSS to -3 sec per 100,Total = 900m; MS = 6 x 50m,CSS to -3 sec per 100,Total = 900m; MS = 6 x 50m,CSS to -3 sec per 100,CSS:+8-+12,CSS:0--3,CSS:+8-+12
3,W03-SWIM-AER-02,Swim,Aerobic,,900m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,900m steady,CSS +8 to +12 sec per 100,900m,CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
3,W03-BIKE-TEMP-04,Bike,Tempo,35–40min,,10min progressive warm-up,5min between reps,8–10min,FTP,FTP:0.80-0.85,80–85% FTP,35–40mins; MS = 1 x 8–10mins,80–85% FTP,35–40mins; MS = 1 x 8–10mins,80–85% FTP,FTP:0.60-0.70,FTP:0.80-0.85,FTP:0.60-0.70
3,W03-BIKE-AER-05,Bike,Aerobic,,30–35km,10min,,5–10min,FTP,FTP:0.60-0.70,60–70% FTP,30–35km steady aerobic,60–70% FTP,30–35km,60–70% FTP,FTP:0.60-0.70,FTP:0.60-0.70,FTP:0.60-0.70
3,W03-RUN-INT-07,Run,Interval,30–35min,,10–12min + strides,2min between reps,6–8min,RUN_PACE,RUN:THRESHOLD,Controlled threshold pace,30–35mins; MS = 4 x 1–2mins,Controlled threshold pace,30–35mins; MS = 4 x 1–2mins,Controlled threshold pace,RUN:AEROBIC,RUN:THRESHOLD,RUN:AEROBIC
3,W03-RUN-AER-08,Run,Aerobic,,7–8km,5min,,5min,RUN_PACE,RUN:AEROBIC,Easy aerobic pace,7–8km steady aerobic,Easy aerobic pace,7–8km,Easy aerobic pace,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
4,W04-SWIM-AER-02,Swim,Aerobic,,1000m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,"1,000m steady",CSS +8 to +12 sec per 100,"1,000m",CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
4,W04-BIKE-INT-04,Bike,Interval,45min,,12min progressive build + 3x30s build-ups,2min between reps,8–10min,FTP,FTP:1.05-1.15,105–115% FTP,45mins; MS = 7 x 2mins,105–115% FTP,45mins; MS = 7 x 2mins,105–115% FTP,FTP:0.60-0.70,FTP:1.05-1.15,FTP:0.60-0.70
4,W04-BIKE-AER-05,Bike,Aerobic,,40km,10min,,5–10min,FTP,FTP:0.65-0.75,65–75% FTP,40km steady aerobic,65–75% FTP,40km,65–75% FTP,FTP:0.60-0.70,FTP:0.65-0.75,FTP:0.60-0.70
4,W04-BIKE-TEMP-06,Bike,Tempo,60min,,12–15min progressive warm-up,4min between reps,10min,FTP,FTP:0.80-0.90,80–90% FTP,60mins; MS = 3 x 10mins steady,80–90% FTP,60mins; MS = 3 x 10mins steady,80–90% FTP,FTP:0.60-0.70,FTP:0.80-0.90,FTP:0.60-0.70
4,W04-RUN-TEMP-07,Run,Tempo,40min,,10min + 4x20s strides,3min between reps,8–10min,RUN_PACE,RUN:THRESHOLD,Threshold pace (~7:20/mi),40mins; MS = 2 x 7mins,Threshold pace,40mins; MS = 2 x 7mins,Threshold pace,RUN:AEROBIC,RUN:THRESHOLD,RUN:AEROBIC
4,W04-RUN-AER-08,Run,Aerobic,,10km,5min,,5min,RUN_PACE,RUN:AEROBIC,8:00–8:45 per mile,10km steady aerobic,8:00–8:45 per mile,10km,8:00–8:45 per mile,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
5,W05-SWIM-INT-01,Swim,Interval,,1300m,300m + 4x50 build,20–30s between reps,200m,CSS,CSS:-3--5,CSS -3 to -5 sec per 100,"Total = 1,300m; MS = 4 x 75m, 4 x 50m",CSS -3 to -5 sec per 100,"Total = 1,300m; MS = 4 x 75m, 4 x 50m",CSS -3 to -5 sec per 100,CSS:+8-+12,CSS:-3--5,CSS:+8-+12
5,W05-SWIM-AER-02,Swim,Aerobic,,1000m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,"1,000m steady",CSS +8 to +12 sec per 100,"1,000m",CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
5,W05-BIKE-AER-05,Bike,Aerobic,,50km,10min,,5–10min,FTP,FTP:0.65-0.75,65–75% FTP,50km steady aerobic,65–75% FTP,50km,65–75% FTP,FTP:0.60-0.70,FTP:0.65-0.75,FTP:0.60-0.70
5,W05-BIKE-THR-06,Bike,Threshold,60min,,15min progressive build,4min between reps,10min,FTP,FTP:0.95-1.00,95–100% FTP,60mins; MS = 3 x 10mins,95–100% FTP,60mins; MS = 3 x 10mins,95–100% FTP,FTP:0.60-0.70,FTP:0.95-1.00,FTP:0.60-0.70
5,W05-RUN-INT-07,Run,Interval,45min,,12min + strides,90s between reps,8–10min,RUN_PACE,RUN:5K,5K pace,45mins; MS = 6 x 90secs,5K pace,45mins; MS = 6 x 90secs,5K pace,RUN:AEROBIC,RUN:5K,RUN:AEROBIC
5,W05-RUN-AER-08,Run,Aerobic,,11km,5min,,5min,RUN_PACE,RUN:AEROBIC,8:00–8:45 per mile,11km steady aerobic,8:00–8:45 per mile,11km,8:00–8:45 per mile,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
6,W06-SWIM-INT-01,Swim,Interval,,1300m,300m + 4x50 build,30s between reps,200m,CSS,CSS:-3--5,CSS -3 to -5 sec per 100,"Total = 1,300m; MS = 6 x 100m",CSS -3 to -5 sec per 100,"Total = 1,300m; MS = 6 x 100m",CSS -3 to -5 sec per 100,CSS:+8-+12,CSS:-3--5,CSS:+8-+12
6,W06-SWIM-AER-02,Swim,Aerobic,,1200m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,"1,200m steady",CSS +8 to +12 sec per 100,"1,200m",CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
6,W06-BIKE-INT-04,Bike,Interval,45min,,12min progressive build + 3x30s build-ups,90s between reps,8–10min,FTP,FTP:1.05-1.15,105–115% FTP,45mins; MS = 8 x 90secs,105–115% FTP,45mins; MS = 8 x 90secs,105–115% FTP,FTP:0.60-0.70,FTP:1.05-1.15,FTP:0.60-0.70
6,W06-BIKE-THR-06,Bike,Threshold,65min,,15min progressive build,5min between reps,10min,FTP,FTP:0.95-1.00,95–100% FTP,65mins; MS = 3 x 12mins,95–100% FTP,65mins; MS = 3 x 12mins,95–100% FTP,FTP:0.60-0.70,FTP:0.95-1.00,FTP:0.60-0.70
6,W06-RUN-TEMP-07,Run,Tempo,40min,,10min + strides,3min between reps,8–10min,RUN_PACE,RUN:THRESHOLD,Threshold pace (~7:20/mi),40mins; MS = 3 x 5mins,Threshold pace,40mins; MS = 3 x 5mins,Threshold pace,RUN:AEROBIC,RUN:THRESHOLD,RUN:AEROBIC
6,W06-RUN-AER-08,Run,Aerobic,,12km,5min,,5min,RUN_PACE,RUN:AEROBIC,8:00–8:45 per mile,12km steady aerobic,8:00–8:45 per mile,12km,8:00–8:45 per mile,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
7,W07-SWIM-INT-01,Swim,Interval,,1500m,300m + 4x50 build,20–30s between reps,200m,CSS,CSS:-3--5,CSS -3 to -5 sec per 100,"Total = 1,500m; MS = 4 x 100m; 8 x 25m",CSS -3 to -5 sec per 100,"Total = 1,500m; MS = 4 x 100m; 8 x 25m",CSS -3 to -5 sec per 100,CSS:+8-+12,CSS:-3--5,CSS:+8-+12
7,W07-SWIM-AER-02,Swim,Aerobic,,1400m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,"1,400m steady",CSS +8 to +12 sec per 100,"1,400m",CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
7,W07-BIKE-AER-05,Bike,Aerobic,,60km,10min,,5–10min,FTP,FTP:0.65-0.75,65–75% FTP,60km steady aerobic,65–75% FTP,60km,65–75% FTP,FTP:0.60-0.70,FTP:0.65-0.75,FTP:0.60-0.70
7,W07-BIKE-THR-06,Bike,Threshold,70min,,15min progressive build,5min between reps,10min,FTP,FTP:0.95-1.00,95–100% FTP,70mins; MS = 2 x 15mins,95–100% FTP,70mins; MS = 2 x 15mins,95–100% FTP,FTP:0.60-0.70,FTP:0.95-1.00,FTP:0.60-0.70
7,W07-RUN-INT-07,Run,Interval,45min,,12min + strides,2min between reps,8–10min,RUN_PACE,RUN:5K,5K pace,45mins; MS = 6 x 2mins,5K pace,45mins; MS = 6 x 2mins,5K pace,RUN:AEROBIC,RUN:5K,RUN:AEROBIC
7,W07-RUN-AER-08,Run,Aerobic,,13km,5min,,5min,RUN_PACE,RUN:AEROBIC,8:00–8:45 per mile,13km steady aerobic,8:00–8:45 per mile,13km,8:00–8:45 per mile,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
8,W08-SWIM-AER-02,Swim,Aerobic,,800–1000m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,800–1000m steady,CSS +8 to +12 sec per 100,800–1000m,CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
8,W08-BIKE-INT-04,Bike,Interval,40–45min,,10min progressive build,90s between reps,6–8min,FTP,FTP:0.90-1.00,90–100% FTP,40–45mins; MS = 4–6 x 90secs,90–100% FTP,40–45mins; MS = 4–6 x 90secs,90–100% FTP,FTP:0.60-0.70,FTP:0.90-1.00,FTP:0.60-0.70
8,W08-BIKE-AER-05,Bike,Aerobic,,30–35km,10min,,5–10min,FTP,FTP:0.60-0.70,60–70% FTP,30–35km steady aerobic,60–70% FTP,30–35km,60–70% FTP,FTP:0.60-0.70,FTP:0.60-0.70,FTP:0.60-0.70
8,W08-RUN-TEMP-07,Run,Tempo,35–40min,,10min + strides,3min between reps,6–8min,RUN_PACE,RUN:THRESHOLD,Controlled threshold pace,35–40mins; MS = 2 x 5–6mins,Controlled threshold pace,35–40mins; MS = 2 x 5–6mins,Controlled threshold pace,RUN:AEROBIC,RUN:THRESHOLD,RUN:AEROBIC
8,W08-RUN-AER-08,Run,Aerobic,,7–8km,5min,,5min,RUN_PACE,RUN:AEROBIC,Easy aerobic pace,7–8km steady aerobic,Easy aerobic pace,7–8km,Easy aerobic pace,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
9,W09-SWIM-TT-01,Swim,Time Trial,,1900m,400m + drills,,200m,CSS,CSS:TEST,CSS test – establish new baseline,"1,900m; include warm-up & cool-down",Update CSS,"1,900m; Include warm-up & cool-down",Controlled max effort; establish new CSS,CSS:+8-+12,CSS:TEST,CSS:+8-+12
9,W09-SWIM-AER-02,Swim,Aerobic,,1400m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,"1,400m steady",CSS +8 to +12 sec per 100,"1,400m",CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
9,W09-BIKE-AER-05,Bike,Aerobic,,50km,10min,,5–10min,FTP,FTP:0.65-0.75,65–75% FTP,50km steady aerobic,65–75% FTP,50km; Create a 50km route outdoors; Include warm-up & cool-down,65–75% FTP,FTP:0.60-0.70,FTP:0.65-0.75,FTP:0.60-0.70
9,W09-BIKE-THR-06,Bike,Threshold,70min,,15min progressive build,5min between reps,10min,FTP,FTP:0.95-1.00,95–100% FTP,70mins; MS = 3 x 12mins,95–100% FTP,70mins; MS = 3 x 12mins,95–100% FTP,FTP:0.60-0.70,FTP:0.95-1.00,FTP:0.60-0.70
9,W09-RUN-INT-07,Run,Interval,45min,,12min + strides,2min between sets,8–10min,RUN_PACE,RUN:5K,5K pace,Total = 45mins; MS = 4 x 2mins; 4 x 1min,5K pace,Total = 45mins; MS = 4 x 2mins; 4 x 1min,5K pace,RUN:AEROBIC,RUN:5K,RUN:AEROBIC
9,W09-RUN-AER-08,Run,Aerobic,,13km,5min,,5min,RUN_PACE,RUN:AEROBIC,8:00–8:45 per mile,13km steady aerobic,8:00–8:45 per mile,13km,8:00–8:45 per mile,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
10,W10-SWIM-INT-01,Swim,Interval,,1800m,300m + drills,30–45s between reps,200m,CSS,CSS:-3--5,CSS -3 to -5 sec per 100,"Total = 1,800m; MS = 2 x 400m; 4 x 100m",CSS -3 to -5 sec per 100,"Total = 1,800m; MS = 2 x 400m; 4 x 100m",CSS -3 to -5 sec per 100,CSS:+8-+12,CSS:-3--5,CSS:+8-+12
10,W10-SWIM-AER-02,Swim,Aerobic,,1500m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,"1,500m steady",CSS +8 to +12 sec per 100,"1,500m",CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
10,W10-BIKE-INT-04,Bike,Interval,50min,,12min progressive build,2min between efforts,8–10min,FTP,FTP:1.05-1.15,105–115% FTP,Total = 50mins; MS = 4 x 2mins; 4 x 1min,105–115% FTP,Total = 50mins; MS = 4 x 2mins; 4 x 1min,105–115% FTP,FTP:0.60-0.70,FTP:1.05-1.15,FTP:0.60-0.70
10,W10-BIKE-AER-05,Bike,Aerobic,,60–70km,10min,,5–10min,FTP,FTP:0.65-0.75,65–75% FTP,60–70km steady aerobic,65–75% FTP,60–70km,65–75% FTP,FTP:0.60-0.70,FTP:0.65-0.75,FTP:0.60-0.70
10,W10-RUN-TT-07,Run,Time Trial,,15km,15min + strides,,10min,RUN_PACE,RUN:TEST,Hard sustained effort,15km time trial,Establish HM projection pace,15km; Include warm-up & cool-down,Hard sustained effort; establish half marathon projection pace,RUN:AEROBIC,RUN:TEST,RUN:AEROBIC
10,W10-RUN-AER-08,Run,Aerobic,,10km,5min,,5min,RUN_PACE,RUN:AEROBIC,8:00–8:45 per mile,10km steady aerobic,8:00–8:45 per mile,10km,8:00–8:45 per mile,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
11,W11-SWIM-INT-01,Swim,Interval,,2000m,400m + drills,45s between reps,200m,CSS,CSS:MIXED,500 @ CSS; 200 @ CSS-3; 100 hard controlled,"Total = 2,000m; MS = 1 x 500m; 2 x 200m; 3 x 100m",500m @ CSS; 200s @ CSS -3; 100s hard controlled,"Total = 2,000m; MS = 1 x 500m; 2 x 200m; 3 x 100m",500m @ CSS pace; 200s @ CSS -3s; 100s hard controlled,CSS:+8-+12,CSS:MIXED,CSS:+8-+12
11,W11-SWIM-AER-02,Swim,Aerobic,,1600m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,"1,600m steady",CSS +8 to +12 sec per 100,"1,600m",CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
11,W11-BIKE-AER-05,Bike,Aerobic,,60–70km,10min,,5–10min,FTP,FTP:0.65-0.75,65–75% FTP,60–70km steady aerobic,65–75% FTP,60–70km,65–75% FTP,FTP:0.60-0.70,FTP:0.65-0.75,FTP:0.60-0.70
